//////////// EXTRASUNNY_LA
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
//////////// CLOUDY_VEGAS
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
91 91 91	95 95 95	170 132 87		0 6 15		28 22 31	39 20 0		45 20 8		1.92	0.32	0.2	174	64 		45	2349	228	0.98		90 53 46	0 0 17		0 32 45 219			127 	34 40 48		127 	3 1 1		0 			220 0 0
//5AM
90 90 90	95 95 95	154 154 120		2 7 16		28 23 31	191 100 0	138 68 0	0.2	0.32	0.2	122	98 		0	2021	22	1		8 6 2		0 0 22		0 50 57 220			127 	35 37 33		127 	5 2 2		0 			90 0 1
//6AM
143 143 143	95 95 95	216 225 255		3 7 16		26 41 44	255 134 0	183 91 0	0.2	0.32	0.2	123	99 		0	2007	65	1.02		3 3 3		0 0 24		21 75 83 219			127 	42 43 29		127 	7 3 3		0 			120 0 1
//7AM
121 119 139	95 95 95	255 255 255		99 168 188	147 135 100	156 156 91	157 106 56	1.36	0.34	0.2	123	99 		0	2021	4	1.08		255 233 169	185 168 80	43 101 109 219			127 	50 50 26		127 	9 3 3		0 			180 0 1
//Midday
167 160 159	100 100 100	249 249 249		196 198 219	138 167 167	254 127 0	254 125 36	2.66	0.2	0.2	188	0 		60	1023	65472	0.32		203 177 174	224 219 172	28 113 120 219			0 	54 40 28		127 	18 7 7		0 			180 0 1
//7PM
219 219 161	100 100 100	250 242 186		159 175 174	154 204 222	188 94 0	173 83 36	1.62	0.2	0.2	227	0 		119	2021	65497	0.3		142 124 124	252 248 232	46 150 119 219			127 	45 38 26		127 	12 5 5		0 			140 0 1
//8PM
233 233 164	100 100 100	255 240 128		133 149 148	127 203 176	176 88 0	157 76 33	2.26	0.36	0.2	221	0 		120	1297	291	0.32		120 100 100	255 250 237	56 159 120 220			127 	49 35 11		127 	11 4 4		0 			140 0 1
//10PM
92 92 92	95 95 95	233 153 80		111 52 49	249 102 90	79 40 0		86 41 17	2.5	0.34	0.2	201	30 		68	1275	5	0.8		255 149 117	141 0 29	0 25 41 219			127 	43 10 8			127 	7 2 2		0 			90 0 1
//
//////////// EXTRASUNNY_COUNTRYSIDE
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
92 92 109	95 95 95	102 102 103		3 4 12		40 21 17	255 128 0	155 0 0		0.4	0.2	0.2	254	60		0	2200	232	0.98		120 40 40	150 119 109	33 33 29 80			127 	32 35 44		127 	0 0 0		0 			220 0 0
//5AM
104 104 109	95 95 95	141 135 127		15 15 15	13 15 30	0 0 0		0 0 0		0.22	0.3	0.2	122	98		0	1052	65513	0.98		53 24 8		1 1 1		19 28 42 149			127 	31 34 44		127 	0 0 0		0 			90 0 1
//6AM
109 109 109	95 95 95	130 129 98		40 45 57	85 59 48	20 18 10	20 13 12	0.24	0.32	0.2	122	98		0	2178	240	1		41 22 4		2 2 2		10 25 33 154			127 	32 34 45		127 	0 0 0		0 			120 0 1
//7AM
113 110 143	95 95 95	216 225 255		69 106 122	138 116 82	150 130 73	127 83 80	2.02	0.32	0.2	123	99		0	1086	65493	1.02		30 20 0		3 3 3		1 22 25 160			127 	26 25 10		127 	1 1 0		0 			180 0 1
//Midday
219 201 195	100 90 85	254 249 238		68 193 255	116 199 195	254 128 0	254 126 21	2.6	0.2	0.2	255	0		30	1821	11	0.54		108 60 55	120 103 100	1 112 122 118			0 	53 50 46		127 	2 2 0		0 			180 0 1
//7PM
195 192 187	100 100 100	254 246 188		7 150 254	0 212 238	253 127 0	253 123 53	1.62	0.2	0.2	254	0		119	971	65494	0.52		119 99 99	119 119 119	76 138 148 31			127 	57 49 36		127 	1 1 0		0 			140 0 1
//8PM
193 191 186	100 100 100	255 245 174		0 145 255	127 176 138	254 128 0	254 124 54	1.92	0.36	0.2	255	0		120	2185	65514	0.54		120 100 100	120 120 120	95 140 150 0			127 	56 49 36		127 	1 1 0		0 			140 0 1
//10PM
68 70 81	95 95 95	172 118 70		182 62 40	208 120 52	255 165 0	255 142 29	2.5	0.28	0.2	201	30		68	1865	65528	1		120 70 70	135 119 114	135 107 59 27			127 	32 36 44		127 	0 0 0		0 			90 0 1
//
//////////// SUNNY_COUNTRYSIDE
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
119 119 119	95 95 95	101 102 118		9 11 15		33 29 34	255 255 0	5 0 0		0.2 	0.3 	1.02 	148 	99 		0 	2198 	22 	0.6		19 12 0		0 0 0		13 13 13 156			127 	21 32 50		127 	5 1 30		0 			220 0 0
//5AM
121 119 139	95 95 95	255 230 202		99 168 188	255 221 112	62 50 29	58 40 21	1.12	0.34 	0.2 	123 	99 		0 	2197 	406 	0.6		187 140 0	185 168 80	66 101 74 171			127 	64 46 24		127 	0 33 15		0 			90 0 1
//6AM
150 150 150	90 90 90	252 230 195		110 179 197	208 176 68	82 56 25	103 68 35	2.02	0.2 	0.2	139	100 		0 	2198	498	0.42		100 47 35	204 167 76	33 111 89 164			127 	58 42 23		127 	0 0 0		0 			120 0 1
//7AM
185 185 128	90 90 90	249 231 189		121 190 207	173 183 98	102 62 22	148 96 49	1.98	0.2	0.2	155	50 		0 	2196	495	0.24		125 81 71	207 176 79	1 122 105 158			127 	52 39 23		127 	0 0 0		0 			180 0 1
//Midday
214 214 162	100 100 100	236 236 159		179 246 255	0 222 250	254 128 0	254 124 54	1.9	0.2	0.2	221	0 		120 	1358	301	0.22		255 255 255	224 224 98	42 131 134 130			0 	54 42 26		127 	0 0 0		0 			180 0 1
//7PM
48 45 29	100 100 100	252 165 86		156 102 255	191 163 78	124 62 0	135 66 28	2.02	0.36	0.2	201	30 		68 	1003	43	1.2		255 72 4	255 201 68	68 38 1 103			127 	53 30 0			127 	4 1 15		0 			140 0 1
//8PM
130 130 130	95 95 95	102 99 117		31 21 25	91 15 34	62 31 0		67 33 14	1.92	0.34	0.2	201	30 		68 	1870	65535	0.6		255 163 97	35 0 26		18 19 32 114			127 	16 30 51		127 	9 3 30		0 			140 0 1
//10PM
124 124 124	95 95 95	101 100 117		3 3 11		33 28 34	85 85 0		1 0 0		0.06	0.32	0.2	174	64 		45 	1997	37	0.6		44 26 22	0 0 0		7 10 10 151			127 	18 31 50		127 	7 2 30		0 			90 0 1
//
//////////// CLOUDY_COUNTRYSIDE
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
91 91 91	95 95 95	170 132 87		0 6 15		28 22 31	39 20 0		45 20 8		1.92	0.32	0.2	174	64 		45	2349	228	0.98		90 53 46	0 0 17		0 32 45 219			127 	34 40 48		127 	3 1 1		0 			220 0 0
//5AM
90 90 90	95 95 95	154 154 120		2 7 16		28 23 31	191 100 0	138 68 0	0.2	0.32	0.2	122	98 		0	2021	22	1		8 6 2		0 0 22		0 50 57 220			127 	35 37 33		127 	5 2 2		0 			90 0 1
//6AM
143 143 143	95 95 95	216 225 255		3 7 16		26 41 44	255 134 0	183 91 0	0.2	0.32	0.2	123	99 		0	2007	65	1.02		3 3 3		0 0 24		21 75 83 219			127 	42 43 29		127 	7 3 3		0 			120 0 1
//7AM
121 119 139	95 95 95	255 255 255		99 168 188	147 135 100	156 156 91	157 106 56	1.36	0.34	0.2	123	99 		0	2021	4	1.08		255 233 169	185 168 80	43 101 109 219			127 	50 50 26		127 	9 3 3		0 			180 0 1
//Midday
167 160 159	100 100 100	249 249 249		196 198 219	138 167 167	254 127 0	254 125 36	2.66	0.2	0.2	188	0 		60	1023	65472	0.32		203 177 174	224 219 172	28 113 120 219			0 	54 40 28		127 	18 7 7		0 			180 0 1
//7PM
219 219 161	100 100 100	250 242 186		159 175 174	154 204 222	188 94 0	173 83 36	1.62	0.2	0.2	227	0 		119	2021	65497	0.3		142 124 124	252 248 232	46 150 119 219			127 	45 38 26		127 	12 5 5		0 			140 0 1
//8PM
233 233 164	100 100 100	255 240 128		133 149 148	127 203 176	176 88 0	157 76 33	2.26	0.36	0.2	221	0 		120	1297	291	0.32		120 100 100	255 250 237	56 159 120 220			127 	49 35 11		127 	11 4 4		0 			140 0 1
//10PM
92 92 92	95 95 95	233 153 80		111 52 49	249 102 90	79 40 0		86 41 17	2.5	0.34	0.2	201	30 		68	1275	5	0.8		255 149 117	141 0 29	0 25 41 219			127 	43 10 8			127 	7 2 2		0 			90 0 1
//
//////////// RAINY_COUNTRYSIDE
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
74 74 94	95 95 95	231 233 239		40 39 43	13 27 24	100 98 10	10 6 6		0.64	0.44	0.2	174	64 		45	824	18	0.54		90 53 46	2 2 17		8 45 39 219			127 	32 32 41		127 	3 1 1		0 			220 0 0
//5AM
79 79 100	95 95 95	255 255 255		20 21 21	18 21 40	255 255 0	165 81 0	0.2	0.44	0.2	122	98 		0	2100	100	0.76		147 110 0	13 13 13	30 84 88 220			127 	43 43 37		127 	5 2 2		0 			90 0 1
//6AM
121 119 139	95 95 95	240 241 241		142 147 152	255 221 112	255 255 0	219 109 0	0.64	0.34	0.2	123	99 		0	947	9	0.62		187 140 0	144 130 62	43 96 102 220			127 	46 46 46		127 	7 3 3		0 			120 0 1
//7AM
97 97 104	90 90 90	226 228 228		141 147 151	139 125 78	255 197 139	255 178 100	2.52	0.2	0.2	139	100 		0	1295	100	0.46		100 34 25	152 140 73	49 99 105 220			127 	33 31 16		127 	9 3 3		0 			180 0 1
//Midday
126 121 117	100 100 100	156 163 163		138 147 150	150 141 112	254 146 39	254 138 66	2.68	0.2	0.2	188	0 		60	1000	65508	0.44		210 188 185	195 191 131	79 117 120 219			0 	44 33 14		127 	18 7 7		0 			180 0 1
//7PM
126 126 125	100 100 100	233 235 235		134 148 148	165 163 160	253 127 0	253 123 53	1.78	0.2	0.2	227	0 		119	2100	99	0.44		142 124 124	247 222 138	45 104 84 219			127 	39 38 20		127 	12 4 4		0 			140 0 1
//8PM
127 127 127	100 100 100	255 255 255		134 149 148	168 167 167	254 128 0	254 124 54	1.72	0.36	0.2	221	0 		120	1089	0	0.44		120 100 100	255 225 136	36 101 76 219			127 	39 39 21		127 	10 3 3		0 			140 0 1
//10PM
62 60 61	95 95 95	242 198 159		76 73 81	84 74 28	62 50 38	68 53 53	1.1	0.44	4.92	201	30 		68	1113	5	0.46		120 70 70	70 70 131	0 30 20 219			127 	34 31 33		127 	7 2 2		0 			90 0 1
//
//////////// EXTRASUNNY_DESERT
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
92 92 109	95 95 95	102 102 103		3 4 12		40 21 17	255 128 0	155 0 0		0.4	0.2	0.2	254	60		0	2200	232	0.98		120 40 40	150 119 109	33 33 29 80			127 	32 35 44		127 	0 0 0		0 			220 0 0
//5AM
104 104 109	95 95 95	141 135 127		15 15 15	13 15 30	0 0 0		0 0 0		0.22	0.3	0.2	122	98		0	1052	65513	0.98		53 24 8		1 1 1		19 28 42 149			127 	31 34 44		127 	0 0 0		0 			90 0 1
//6AM
109 109 109	95 95 95	130 129 98		40 45 57	85 59 48	20 18 10	20 13 12	0.24	0.32	0.2	122	98		0	2178	240	1		41 22 4		2 2 2		10 25 33 154			127 	32 34 45		127 	0 0 0		0 			120 0 1
//7AM
113 110 143	95 95 95	216 225 255		69 106 122	138 116 82	150 130 73	127 83 80	2.02	0.32	0.2	123	99		0	1086	65493	1.02		30 20 0		3 3 3		1 22 25 160			127 	26 25 10		127 	1 1 0		0 			180 0 1
//Midday
219 201 195	100 90 85	254 249 238		68 193 255	116 199 195	254 128 0	254 126 21	2.6	0.2	0.2	255	0		30	1821	11	0.54		108 60 55	120 103 100	1 112 122 118			0 	53 50 46		127 	2 2 0		0 			180 0 1
//7PM
195 192 187	100 100 100	254 246 188		7 150 254	0 212 238	253 127 0	253 123 53	1.62	0.2	0.2	254	0		119	971	65494	0.52		119 99 99	119 119 119	76 138 148 31			127 	57 49 36		127 	1 1 0		0 			140 0 1
//8PM
193 191 186	100 100 100	255 245 174		0 145 255	127 176 138	254 128 0	254 124 54	1.92	0.36	0.2	255	0		120	2185	65514	0.54		120 100 100	120 120 120	95 140 150 0			127 	56 49 36		127 	1 1 0		0 			140 0 1
//10PM
68 70 81	95 95 95	172 118 70		182 62 40	208 120 52	255 165 0	255 142 29	2.5	0.28	0.2	201	30		68	1865	65528	1		120 70 70	135 119 114	135 107 59 27			127 	32 36 44		127 	0 0 0		0 			90 0 1
//
//////////// SUNNY_DESERT
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
119 119 119	95 95 95	101 102 118		9 11 15		33 29 34	255 255 0	5 0 0		0.2 	0.3 	1.02 	148 	99 		0 	2198 	22 	0.6		19 12 0		0 0 0		13 13 13 156			127 	21 32 50		127 	5 1 30		0 			220 0 0
//5AM
121 119 139	95 95 95	255 230 202		99 168 188	255 221 112	62 50 29	58 40 21	1.12	0.34 	0.2 	123 	99 		0 	2197 	406 	0.6		187 140 0	185 168 80	66 101 74 171			127 	64 46 24		127 	0 33 15		0 			90 0 1
//6AM
150 150 150	90 90 90	252 230 195		110 179 197	208 176 68	82 56 25	103 68 35	2.02	0.2 	0.2	139	100 		0 	2198	498	0.42		100 47 35	204 167 76	33 111 89 164			127 	58 42 23		127 	0 0 0		0 			120 0 1
//7AM
185 185 128	90 90 90	249 231 189		121 190 207	173 183 98	102 62 22	148 96 49	1.98	0.2	0.2	155	50 		0 	2196	495	0.24		125 81 71	207 176 79	1 122 105 158			127 	52 39 23		127 	0 0 0		0 			180 0 1
//Midday
214 214 162	100 100 100	236 236 159		179 246 255	0 222 250	254 128 0	254 124 54	1.9	0.2	0.2	221	0 		120 	1358	301	0.22		255 255 255	224 224 98	42 131 134 130			0 	54 42 26		127 	0 0 0		0 			180 0 1
//7PM
48 45 29	100 100 100	252 165 86		156 102 255	191 163 78	124 62 0	135 66 28	2.02	0.36	0.2	201	30 		68 	1003	43	1.2		255 72 4	255 201 68	68 38 1 103			127 	53 30 0			127 	4 1 15		0 			140 0 1
//8PM
130 130 130	95 95 95	102 99 117		31 21 25	91 15 34	62 31 0		67 33 14	1.92	0.34	0.2	201	30 		68 	1870	65535	0.6		255 163 97	35 0 26		18 19 32 114			127 	16 30 51		127 	9 3 30		0 			140 0 1
//10PM
124 124 124	95 95 95	101 100 117		3 3 11		33 28 34	85 85 0		1 0 0		0.06	0.32	0.2	174	64 		45 	1997	37	0.6		44 26 22	0 0 0		7 10 10 151			127 	18 31 50		127 	7 2 30		0 			90 0 1
//
//////////// SANDSTORM_DESERT
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
80 80 80	95 95 95	122 129 169		13 13 13	36 31 26	255 170 0	171 0 0		1.3	0.32	4.92	174	64		45	1974	18	0.98		90 53 46	1 1 9		13 22 35 183			127 	32 32 38		127 	0 30 98		0 			220 0 0
//5AM
118 118 118	95 95 95	98 99 106		9 8 6		36 36 35	63 63 0		1 0 0		0.2	0.32	0.2	122	98 		0	1961	65	0.98		29 19 0		79 70 61	5 20 25 219			127 	19 21 28		127 	0 30 98		0 			90 0 1
//6AM
126 126 126	95 95 95	94 94 94		32 30 25	37 38 37	0 0 0		0 0 0		1.26	0.32	0.2	122	98 		0	1974	4	0.98		29 19 0		103 84 66	3 21 24 219			127 	17 19 26		127 	0 30 98		0 			120 0 1
//7AM
113 110 143	95 95 95	174 167 158		45 38 24	62 43 28	8 8 0		3 3 3		2.32	0.32	0.2	123	99 		0	1850	11	0.98		30 20 0		126 98 71	28 23 22 220			127 	43 22 41		127 	0 30 98		0 			180 0 1
//Midday
98 96 100	100 100 100	220 218 211		147 161 158	168 169 104	115 110 98	133 131 130	1.28	0.2	0.2	254	0 		60	1974	65489	0.94		192 166 162	233 227 201	80 101 77 183			0 	37 37 27		127 	0 0 0		0 			180 0 1
//7PM
100 100 99	100 100 100	184 179 144		172 186 153	169 172 172	159 149 137	222 213 209	1.62	0.2	0.2	254	0 		119	1267	291	0.94		254 179 151	99 94 38	131 177 156 119			127 	40 40 40		127 	0 0 0		0 			140 0 1
//8PM
101 101 101	100 100 100	180 174 135		120 135 119	200 203 184	92 86 80	110 107 105	1.76	0.36	0.2	255	0		120	1974	65510	0.96		255 165 131	76 72 16	139 188 169 110			127 	38 38 38		127 	0 0 0		0 			140 0 1
//10PM
66 66 66	95 95 95	126 108 112		255 78 6	130 29 0	255 128 0	255 0 0		1.82	0.34	0.2	201	30		68	1974	65522	0.96		177 0 63	214 67 8	55 39 20 146			127 	68 41 10		127 	0 20 65		0 			90 0 1
//
//////////// UNDERWATER
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
21 21 21	135 173 197	255 255 255	10 10 10	20 20 20	0 0 0	0 0 0	1 1 1 200 100 0 300 10 1	30 20 0	0 0 0	27 31 37 192	127 104 136 83	127 24 76 16	255 0 0 1
//5AM
21 21 21	135 173 197	255 255 255	10 10 10	20 20 20	0 0 0	0 0 0	0 1 1 200 100 0 300 50 1	70 27 10	0 0 0	102 171 204 128	127 94 141 95	127 0 70 20	255 0 0 1
//6AM
21 21 21	135 173 197	255 255 255	10 10 10	20 20 20	0 0 0	0 0 0	3.4 0.9 0.9 200 100 0 300 60 0.9	100 34 25	0 0 0	95 194 162 128	127 124 174 110	127 0 64 20	255 0 100 1
//7AM
21 21 21	135 173 197	255 255 255	40 40 40	50 50 50	0 0 0	0 0 0	2.5 0.7 0.8 80 80 0 300 70 0.8	120 40 40	0 0 0	108 192 255 128	127 124 153 104	127 0 48 20	255 0 0 1
//Midday
21 21 21	186 186 186	255 255 255	80 80 80	70 70 70	0 0 0	0 0 0	1 0.5 0.7 80 50 120 300 75 0.7	120 100 100	0 0 0	86 191 248 128	127 124 143 109	127 0 51 24	255 0 0 1
//7PM
21 21 21	135 173 193	255 255 255	80 80 80	70 70 70	0 0 0	0 0 0	3.5 1 1 80 50 0 300 60 0.9	120 40 40	0 0 0	86 154 169 128	127 124 139 85	127 10 46 22	255 0 0 1
//8PM
21 21 21	167 198 223	255 255 255	40 40 40	70 70 70	0 0 0	0 0 0	2 1 1 80 80 0 300 40 1	120 40 40	0 0 0	88 103 105 128	127 63 124 99	127 0 87 20	255 0 0 1
//10PM
21 21 21	167 198 223	255 255 255	40 40 40	50 50 50	0 0 0	0 0 0	1 1 1 200 100 0 300 20 1	70 27 10	0 0 0	53 66 77 160	127 124 124 91	127 0 85 20	255 0 0 1
//
//////////// EXTRACOLOURS_1
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
121 115 107	95 95 95	81 78 83		0 0 0		0 0 0		255 87 2	171 2 0		1.06	0.12	0.2	174	64		0	1999	100	0.06		103 35 29	150 99 81	58 46 44 200			127 	27 21 15		127 	1 0 0		0 			0 0 1
//5AM
101 101 101	95 95 95	153 175 98		0 0 0		0 0 0		255 155 0	255 0 0		0.2	0.2	0.2	255	100		0	902	9	0.08		30 20 0		31 42 50	51 41 47 80			127 	26 26 1			127 	0 0 0		0 			0 0 1
//6AM
90 87 55	95 95 95	22 16 11		0 0 0		0 0 0		255 128 0	255 128 0	0.2	0.2	0.2	250	100		0	1234	100	0.08		30 20 0		86 82 83	53 44 51 86			127 	51 31 13		127 	0 0 0		0 			0 0 1
//7AM
85 85 64	95 95 95	152 144 112		0 0 0		0 0 0		255 128 0	255 0 0		0.2	0.08	0.2	254	100		0	919	65534	0.08		30 20 0		33 42 50	55 46 54 92			127 	48 33 6			127 	0 0 0		0 			0 0 1
//Midday
147 139 126	100 90 85	118 94 51		0 0 0		0 0 0		255 128 0	255 128 0	0.88	0.2	0.24	255	0		0	2000	100	0.08		120 40 40	159 142 106	67 60 75 124			127 	47 31 5			127 	0 0 0		0 			0 0 1
//7PM
87 81 81	100 100 100	121 118 90		0 0 0		0 0 0		255 128 0	255 120 120	0.5	0.16	0.06	243	0		0	1038	0	0.08		120 100 100	120 120 120	76 76 86 168			127 	12 12 6			127 	9 6 0		0 			0 0 1
//8PM
111 100 89	100 100 100	160 161 147		0 0 0		0 0 0		255 128 0	255 120 120	0.54	0.16	0.26	245	0		0	2000	99	0.08		120 100 100	146 106 104	75 69 74 174			127 	35 31 14		127 	1 1 0		0 			0 0 1
//10PM
149 149 149	100 100 100	116 116 137		0 0 0		0 0 0		255 128 0	255 0 0		1.5	0.2	0	250	0		0	2000	100	0.08		120 40 40	200 80 72	72 56 51 187			127 	30 30 15		127 	4 3 0		0 			0 0 1
//
//////////// EXTRACOLOURS_2
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
0 0 0	99 99 99	255 255 255	255 255 255	5 5 5	255 255 0	5 0 0	1 1 1 200 100 0 400 100 1	30 20 0	3 3 3	85 85 65 192	127 61 53 30	127 64 64 64	0 0 0 1
//5AM
30 30 30	20 20 20	255 255 255	255 255 255	5 5 5	255 255 0	5 0 0	1 1 1 200 100 0 400 100 1	30 20 0	3 3 3	85 85 65 192	127 64 64 64	127 64 73 80	0 0 0 1
//6AM
0 0 0	20 20 20	255 255 255	255 255 255	50 5 50	255 255 0	5 0 0	1 1 1 200 100 0 78 50 1	30 20 0	3 3 3	85 85 65 192	127 64 16 64	127 64 64 64	0 0 0 1
//7AM
0 0 0	133 133 133	255 255 255	255 255 255	0 0 0	0 0 0	5 0 0	1 1 1 200 0 0 400 100 1	30 20 0	3 3 3	85 85 65 192	127 64 64 64	127 64 64 64	0 0 0 1
//Midday
0 0 0	0 0 0	255 255 255	255 255 255	0 0 0	0 0 0	5 0 0	1 1 1 200 0 0 400 100 1	30 20 0	3 3 3	85 85 65 192	127 44 44 44	127 33 64 64	234 0 0 1
//7PM
0 0 0	20 20 20	255 255 255	255 255 255	5 5 5	255 255 0	5 0 0	1 1 1 200 100 0 400 100 1	30 20 0	3 3 3	85 85 65 192	127 64 64 64	127 64 146 64	0 0 0 1
//8PM
0 0 0	50 50 50	255 255 255	255 255 255	5 5 5	255 255 0	5 0 0	1 1 1 200 100 0 400 100 1	30 20 0	3 3 3	85 85 65 192	127 64 64 64	127 64 64 64	0 0 0 1
//10PM
0 0 0	190 180 180	255 255 255	1 1 1	5 5 5	255 255 0	5 0 0	1 1 1 200 100 0 400 100 1	30 20 0	3 3 3	85 85 65 192	127 64 64 64	127 64 64 40	0 0 0 1
//
